node,x1,x2
rel-volume - CSF,volume,Other regions
rel-volume - Cortical gray matter,volume,Cortical gray matter
rel-volume - White matter,volume,White matter
rel-volume - Background,volume,Other regions
rel-volume - Ventricles,volume,Ventricles
rel-volume - Cerebellum,volume,Cerebellum
rel-volume - Deep Gray Matter,volume,Deep Gray Matter
rel-volume - Brainstem,volume,Brainstem
rel-volume - Hippocampi and Amygdala,volume,Hippocampi and Amygdala
rel-volume - Hippocampus left,volume,Hippocampus left
rel-volume - Hippocampus right,volume,Hippocampus right
rel-volume - Amygdala left,volume,Amygdala left
rel-volume - Amygdala right,volume,Amygdala right
rel-volume - Anterior temporal lobe medial part left GM,volume,Anterior temporal lobe medial part left
rel-volume - Anterior temporal lobe medial part right GM,volume,Anterior temporal lobe medial part right
rel-volume - Anterior temporal lobe lateral part left GM,volume,Anterior temporal lobe lateral part left
rel-volume - Anterior temporal lobe lateral part right GM,volume,Anterior temporal lobe lateral part right
rel-volume - Gyri parahippocampalis et ambiens anterior part left GM,volume,Gyri parahippocampalis et ambiens anterior part left
rel-volume - Gyri parahippocampalis et ambiens anterior part right GM,volume,Gyri parahippocampalis et ambiens anterior part right
rel-volume - Superior temporal gyrus middle part left GM,volume,Superior temporal gyrus middle part left
rel-volume - Superior temporal gyrus middle part right GM,volume,Superior temporal gyrus middle part right
rel-volume - Medial and inferior temporal gyri anterior part left GM,volume,Medial and inferior temporal gyri anterior part left
rel-volume - Medial and inferior temporal gyri anterior part right GM,volume,Medial and inferior temporal gyri anterior part right
rel-volume - Lateral occipitotemporal gyrus gyrus fusiformis anterior part left GM,volume,gyrus fusiformis anterior part left
rel-volume - Lateral occipitotemporal gyrus gyrus fusiformis anterior part right GM,volume,gyrus fusiformis anterior part right
rel-volume - Cerebellum left,volume,Cerebellum left
rel-volume - Cerebellum right,volume,Cerebellum right
rel-volume - Brainstem spans the midline,volume,Brainstem
rel-volume - Insula right GM,volume,Insula right
rel-volume - Insula left GM,volume,Insula left
rel-volume - Occipital lobe right GM,volume,Occipital lobe right
rel-volume - Occipital lobe left GM,volume,Occipital lobe left
rel-volume - Gyri parahippocampalis et ambiens posterior part right GM,volume,Gyri parahippocampalis et ambiens posterior part right
rel-volume - Gyri parahippocampalis et ambiens posterior part left GM,volume,Gyri parahippocampalis et ambiens posterior part left
rel-volume - Lateral occipitotemporal gyrus gyrus fusiformis posterior part right GM,volume,gyrus fusiformis posterior part right
rel-volume - Lateral occipitotemporal gyrus gyrus fusiformis posterior part left GM,volume,gyrus fusiformis posterior part left
rel-volume - Medial and inferior temporal gyri posterior part right GM,volume,Medial and inferior temporal gyri posterior part right
rel-volume - Medial and inferior temporal gyri posterior part left GM,volume,Medial and inferior temporal gyri posterior part left
rel-volume - Superior temporal gyrus posterior part right GM,volume,Superior temporal gyrus posterior part right
rel-volume - Superior temporal gyrus posterior part left GM,volume,Superior temporal gyrus posterior part left
rel-volume - Cingulate gyrus anterior part right GM,volume,Cingulate gyrus anterior part right
rel-volume - Cingulate gyrus anterior part left GM,volume,Cingulate gyrus anterior part left
rel-volume - Cingulate gyrus posterior part right GM,volume,Cingulate gyrus posterior part right
rel-volume - Cingulate gyrus posterior part left GM,volume,Cingulate gyrus posterior part left
